Category,Screen/State,Specific Item Description,Screenshot,Current component or state,ATAK Native?,Equivalent available?,Target Framework Component or state,Notes / Decisions
tab_grid.xml,section_naming_prefix,Type to set the starting letter prefix for sections (default A),,EditText,FALSE,,,
tab_grid.xml,section_auto_increment_checkbox,Toggle to auto-increment section names (A to B to C),,CheckBox,FALSE,,,
tab_grid.xml,section_skip_ambiguous_checkbox,Toggle to skip B/I/L/O/S/Z when auto-incrementing,,CheckBox,FALSE,,,
tab_grid.xml,section_starting_number,Type to set the starting number for building markers (default 101),,EditText,FALSE,,,
tab_grid.xml,section_number_increment,Type to set how much each building number increments (default 100),,EditText,FALSE,,,
tab_grid.xml,section_auto_select_color_checkbox,Toggle to automatically rotate through colors per section,,CheckBox,FALSE,,,
tab_grid.xml,labeling_strategy_spinner,Dropdown to select the labeling strategy (e.g. adaptive path / reading order),,Spinner,FALSE,,,
tab_label.xml,Section Parameters header,Static section header — non-interactive,,TextView,FALSE,,,
tab_label.xml,section_selector_spinner,Dropdown to select which section to edit,,Spinner,FALSE,,,
tab_label.xml,selected_section_name,Editable name field for the selected section (disabled until a section is selected),,EditText,FALSE,,,
tab_label.xml,selected_section_starting_number,Editable starting number for the selected section (disabled until a section is selected),,EditText,FALSE,,,
tab_label.xml,selected_section_color_button,Tap to open a color picker for the selected section (disabled until a section is selected),,Button,FALSE,,,
tab_label.xml,Divider,Static visual separator line — non-interactive,,View,FALSE,,,
tab_label.xml,Relabel Building Sequences header,Static section header — non-interactive,,TextView,FALSE,,,
tab_label.xml,relabel_markers_help_icon,Tap to show a help tooltip explaining relabeling,,TextView (styled as button),FALSE,,,
tab_label.xml,label_starting_marker_spinner,Dropdown to choose which marker starts the relabel sequence (disabled until section selected),,Spinner,FALSE,,,
tab_label.xml,label_ending_marker_spinner,Dropdown to choose which marker ends the relabel sequence (disabled until section selected),,Spinner,FALSE,,,
tab_label.xml,strategy_primary_button,Tap to select the adaptive path labeling flow (disabled until section selected),,ImageButton,FALSE,,,
tab_label.xml,strategy_left_to_right_reading_button,Tap to select left-to-right reading order flow (disabled until section selected),,ImageButton,FALSE,,,
tab_label.xml,relabel_section_button,Tap to apply the relabel operation to the selected section (disabled until configured),,Button,FALSE,,,
grid_settings_pane.xml,columns_minus,Tap to decrement column count,,Button,FALSE,,,
grid_settings_pane.xml,columns_plus,Tap to increment column count,,Button,FALSE,,,
grid_settings_pane.xml,columns_value,Displays column count — non-interactive,,TextView,FALSE,,,
grid_settings_pane.xml,columns_seekbar,Drag to adjust columns,,SeekBar,FALSE,,,
grid_settings_pane.xml,rows_minus,Tap to decrement row count,,Button,FALSE,,,
grid_settings_pane.xml,rows_plus,Tap to increment row count,,Button,FALSE,,,
grid_settings_pane.xml,rows_value,Displays row count — non-interactive,,TextView,FALSE,,,
grid_settings_pane.xml,rows_seekbar,Drag to adjust rows,,SeekBar,FALSE,,,
grid_settings_pane.xml,spacing_minus,Tap to decrement spacing,,Button,FALSE,,,
grid_settings_pane.xml,spacing_plus,Tap to increment spacing,,Button,FALSE,,,
grid_settings_pane.xml,spacing_value,Displays spacing — non-interactive,,TextView,FALSE,,,
grid_settings_pane.xml,spacing_seekbar,Drag to adjust spacing,,SeekBar,FALSE,,,
grid_settings_pane.xml,legend_visible_checkbox,Toggle to show/hide the legend,,CheckBox,FALSE,,,
grid_settings_pane.xml,section_naming_prefix,Type a naming prefix for sections,,EditText,FALSE,,,
grid_settings_pane.xml,cancel_button,Tap to discard changes,,Button,FALSE,,,
grid_settings_pane.xml,save_button,Tap to save changes,,Button,FALSE,,,
grg_capture_dialog.xml,capture_dlg_title,Static title bar displaying GRG Capture — non-interactive,,TextView,FALSE,,,
grg_capture_dialog.xml,capture_preview (GRGView),Pinch to zoom and drag to pan the GRG image preview,,Custom ImageView,FALSE,,,
grg_capture_dialog.xml,theme_light,Select Light background theme for the export,,RadioButton,FALSE,,,
grg_capture_dialog.xml,theme_dark,Select Dark background theme for the export,,RadioButton,FALSE,,,
grg_capture_dialog.xml,show_grid,Toggle grid overlay visibility in the export,,CheckBox,FALSE,,,
grg_capture_dialog.xml,edit_grid,Tap to open the Edit Grid sub-dialog,,Button,FALSE,,,
grg_capture_dialog.xml,show_crosshair,Toggle crosshair visibility in the export,,CheckBox,FALSE,,,
grg_capture_dialog.xml,edit_crosshair,Tap to open the Edit Crosshair sub-dialog,,Button,FALSE,,,
grg_capture_dialog.xml,show_info,Toggle the info box visibility in the export,,CheckBox,FALSE,,,
grg_capture_dialog.xml,edit_info,Tap to open the Edit Info Box sub-dialog,,Button,FALSE,,,
grg_capture_dialog.xml,infobanner_top,Select top banner position — visible in Banner mode only,,RadioButton,FALSE,,,
grg_capture_dialog.xml,infobanner_bottom,Select bottom banner position — visible in Banner mode only,,RadioButton,FALSE,,,
grg_capture_dialog.xml,show_point_list,Toggle the point list overlay in the export,,CheckBox,FALSE,,,
grg_capture_dialog.xml,edit_point_list,Tap to open the Edit Point List sub-dialog,,Button,FALSE,,,
grg_capture_dialog.xml,infobox_tl,Position info box in top-left corner,,RadioButton,FALSE,,,
grg_capture_dialog.xml,infobox_tr,Position info box in top-right corner (default),,RadioButton,FALSE,,,
grg_capture_dialog.xml,infobox_bl,Position info box in bottom-left corner,,RadioButton,FALSE,,,
grg_capture_dialog.xml,infobox_br,Position info box in bottom-right corner,,RadioButton,FALSE,,,
grg_capture_dialog.xml,point_list_TL,Position point list in top-left (Banner mode only — hidden by default),,RadioButton,FALSE,,,
grg_capture_dialog.xml,point_list_TR,Position point list in top-right (Banner mode only — hidden by default),,RadioButton,FALSE,,,
grg_capture_dialog.xml,point_list_BL,Position point list in bottom-left (Banner mode only — hidden by default),,RadioButton,FALSE,,,
grg_capture_dialog.xml,point_list_BR,Position point list in bottom-right (Banner mode only — hidden by default),,RadioButton,FALSE,,,
grg_capture_dialog.xml,show_compass,Toggle compass visibility in the export,,CheckBox,FALSE,,,
grg_capture_dialog.xml,edit_compass,Tap to open the Edit Compass sub-dialog,,Button,FALSE,,,
grg_capture_dialog.xml,compass_left,Position compass on the left side,,RadioButton,FALSE,,,
grg_capture_dialog.xml,compass_right,Position compass on the right side,,RadioButton,FALSE,,,
grg_capture_dialog.xml,show_scale_bar,Toggle scale bar visibility in the export,,CheckBox,FALSE,,,
grg_capture_dialog.xml,edit_scale,Tap to open the Edit Scale sub-dialog,,Button,FALSE,,,
grg_capture_dialog.xml,show_version,Toggle version info text visibility in the export,,CheckBox,FALSE,,,
grg_capture_dialog.xml,show_imagery,Toggle whether map imagery is included in the export,,CheckBox,FALSE,,,
grg_capture_dialog.xml,Divider,Static visual separator — non-interactive,,View,FALSE,,,
grg_capture_dialog.xml,font_size,Type a number to set the font size for text overlays,,EditText,FALSE,,,
grg_capture_dialog.xml,label_size,Type a number to set the size of grid/section labels,,EditText,FALSE,,,
grg_capture_dialog.xml,icon_size,Type a number to set the size of map icons in the export,,EditText,FALSE,,,
grg_capture_dialog.xml,line_weight,Type a number to set the line stroke weight,,EditText,FALSE,,,
grg_capture_dialog.xml,capture_loader,Non-interactive spinner shown while capture is being processed,,ProgressBar,FALSE,,,
grg_capture_edit_info.xml,edit_info_title,Type to set the title text shown in the info box,,EditText,FALSE,,,
grg_capture_edit_info.xml,edit_info_location,Type to set the location text shown in the info box,,EditText,FALSE,,,
grg_capture_edit_info.xml,edit_info_date,Type to set the date text shown in the info box,,EditText,FALSE,,,
grg_capture_edit_info.xml,edit_info_class,Type to set the classification text,,EditText,FALSE,,,
grg_capture_edit_info.xml,info_style_box,Select floating box style for the info box,,RadioButton,FALSE,,,
grg_capture_edit_info.xml,info_style_banner,Select full-width banner style for the info box,,RadioButton,FALSE,,,
grg_capture_edit_info.xml,edit_info_talign_left,Set text left-aligned inside the info box,,RadioButton,FALSE,,,
grg_capture_edit_info.xml,edit_info_talign_center,Set text center-aligned inside the info box,,RadioButton,FALSE,,,
grg_capture_edit_info.xml,edit_info_talign_right,Set text right-aligned inside the info box,,RadioButton,FALSE,,,
grg_capture_edit_pointlist.xml,edit_ptlist_title_color,Tap to open a color picker for the point list text color,,ColorButton (Custom ImageButton),FALSE,,,
grg_capture_edit_pointlist.xml,edit_ptlist_talign_left,Set text left-aligned in the point list,,RadioButton,FALSE,,,
grg_capture_edit_pointlist.xml,edit_ptlist_talign_center,Set text center-aligned in the point list,,RadioButton,FALSE,,,
grg_capture_edit_pointlist.xml,edit_ptlist_talign_right,Set text right-aligned in the point list,,RadioButton,FALSE,,,
grg_capture_edit_pointlist.xml,Point List Items label,Static label above the list — non-interactive,,TextView,FALSE,,,
grg_capture_edit_pointlist.xml,pointListView,Scrollable list of map points; tap items to include/exclude from export,,ListView,FALSE,,,
point_list_item.xml,item_checkbox,Check/uncheck to include or exclude this point from the export,,CheckBox,FALSE,,,
point_list_item.xml,item_icon,Displays the color associated with the point — non-interactive,,View,FALSE,,,
point_list_item.xml,item_label,Displays the point name — non-interactive,,TextView,FALSE,,,
point_list_item.xml,item_coordinate,Displays the MGRS coordinate — non-interactive,,TextView,FALSE,,,
dialog_edit_compass.xml,compass_type_truemag,Select True/Magnetic north compass style,,RadioButton,FALSE,,,
dialog_edit_compass.xml,compass_type_full,Select Full compass rose style,,RadioButton,FALSE,,,
dialog_edit_compass.xml,compass_color,Tap to open a color picker for the compass color,,ColorButton (Custom ImageButton),FALSE,,,
dialog_edit_crosshair.xml,cross_color,Tap to open a color picker for the crosshair color,,ColorButton (Custom ImageButton),FALSE,,,
dialog_edit_crosshair.xml,cross_alpha,Drag to adjust crosshair opacity (0-255),,SeekBar,FALSE,,,
dialog_edit_crosshair.xml,cross_size,Drag to adjust crosshair size (0-64),,SeekBar,FALSE,,,
dialog_edit_crosshair.xml,cross_size_label,Displays the current size value numerically — non-interactive,,TextView,FALSE,,,
dialog_edit_grid.xml,label_style_mgrs,Select MGRS label style for grid cells,,RadioButton,FALSE,,,
dialog_edit_grid.xml,label_style_abc123,Select ABC/123 label style,,RadioButton,FALSE,,,
dialog_edit_grid.xml,label_style_both,Show both MGRS and ABC/123 labels,,RadioButton,FALSE,,,
dialog_edit_grid.xml,grid_color,Tap to open a color picker for the grid lines,,ColorButton (Custom ImageButton),FALSE,,,
dialog_edit_grid.xml,grid_alpha,Drag to adjust grid line opacity (0-255),,SeekBar,FALSE,,,
dialog_edit_grid.xml,grid_spacing,Type a numeric value for the grid spacing,,EditText,FALSE,,,
dialog_edit_grid.xml,grid_units,Tap to toggle the unit of spacing (feet/meters),,Button,FALSE,,,
dialog_edit_grid.xml,grid_show_labels,Toggle grid cell labels on/off,,CheckBox,FALSE,,,
dialog_edit_grid.xml,grid_additional_labels,Toggle additional intermediate labels on/off,,CheckBox,FALSE,,,
dialog_edit_scale.xml,scale_type_map_range,Scale bar represents the full map range,,RadioButton,FALSE,,,
dialog_edit_scale.xml,scale_type_cell_range,Scale bar represents a single grid cell range,,RadioButton,FALSE,,,
dialog_edit_scale.xml,scale_unit_spinner,Dropdown to select the unit of measure (ft/m/km etc.),,Spinner,FALSE,,,
dialog_edit_scale.xml,edit_map_scale,Type a numeric value for the scale bar length,,EditText,FALSE,,,
dialog_edit_scale.xml,edit_map_scale_unit,Displays the derived unit label — non-interactive,,TextView,FALSE,,,
dialog_edit_scale.xml,edit_map_scale_segs,Type a value for the segment interval,,EditText,FALSE,,,
dialog_edit_scale.xml,edit_map_scale_segs_unit,Displays the segment unit label — non-interactive,,TextView,FALSE,,,
dialog_grid_parameter_edit.xml,dialog_title,Displays which parameter is being edited — non-interactive,,TextView,FALSE,,,
dialog_grid_parameter_edit.xml,button_decrement (-),Tap to decrease the value by one step,,Button,FALSE,,,
dialog_grid_parameter_edit.xml,dialog_value_display,Shows current value in large text — non-interactive,,TextView,FALSE,,,
dialog_grid_parameter_edit.xml,dialog_unit_display,Shows the unit (hidden when not applicable),,TextView,FALSE,,,
dialog_grid_parameter_edit.xml,button_increment (+),Tap to increase the value by one step,,Button,FALSE,,,
dialog_grid_parameter_edit.xml,dialog_seekbar,Drag to adjust value across the full range,,SeekBar,FALSE,,,
dialog_grid_parameter_edit.xml,dialog_edit_text,Type a value directly,,EditText,FALSE,,,
dialog_grid_parameter_edit.xml,dialog_min_label,Shows the minimum allowed value — non-interactive,,TextView,FALSE,,,
dialog_grid_parameter_edit.xml,dialog_max_label,Shows the maximum allowed value — non-interactive,,TextView,FALSE,,,
dialog_grid_parameter_edit.xml,dialog_cancel,Tap to dismiss without saving,,Button,FALSE,,,
dialog_grid_parameter_edit.xml,dialog_ok,Tap to confirm and apply the new value,,Button,FALSE,,,
grg_menu_list_item.xml,grg_menu_item_text,Displays the menu option label; whole cell is the tappable target,,TextView,FALSE,,,
grg_menu_list_item.xml,Right border,Static decorative divider — non-interactive,,View,FALSE,,,
grg_menu_list_item.xml,Bottom border,Static decorative divider — non-interactive,,View,FALSE,,,
spinner_item.xml,text1,White text on dark background — the selected/collapsed spinner label,,TextView,FALSE,,,
spinner_dropdown_item.xml,text1,Black text on white background — an option in the open dropdown list,,TextView,FALSE,,,
grg_toolbar.xml (deprecated),drop_grid,Was: drop a grid on the map,,ImageButton,FALSE,,,
grg_toolbar.xml (deprecated),labels,Was: open labeling mode,,ImageButton,FALSE,,,
grg_toolbar.xml (deprecated),img_export,Was: open the capture/export dialog,,ImageButton,FALSE,,,
grg_toolbar.xml (deprecated),delete,Was: delete the current GRG,,ImageButton,FALSE,,,
grg_toolbar.xml (deprecated),settings,Was: open settings,,ImageButton,FALSE,,,
main_layout.xml,App name TextView,Displays the app name string — non-interactive placeholder,,TextView,FALSE,,,
